SiIII_flux	SiIII_flux_err	LyA_flux	LyA_flux_err	SiII_flux	SiII_flux_err	CII_flux	CII_flux_err	MgII_flux	MgII_flux_err	SiIV_flux	SiIV_flux_err	HeII_flux	HeII_flux_err	CIV_flux	CIV_flux_err	NV_flux	NV_flux_err	EUV_flux	dist_pc	radius	temp	star	
Si III (1206 Å)		LyA (1216 Å)		Si II (1260 Å)		C II (1335 Å)		Mg II (2800 Å)		Si IV (1393 Å)		He II (1640 Å)		C IV (1550 Å)		N V (1240 Å)		(100-912 Å)		Solar Units			
																							
																							
																							
7.66E-16	3.56E-17	x	x	x	x	2.97E-15	7.16E-17	x	x	x	x	1.34E-15	7.37E-17	4.07E-15	1.11E-16	x	x	x	42.11	0.58	3420	LP415-1619	
x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	53.29	x	x	LP5-282	
x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	36.93	x	x	2MASSJ02001277-0840516	
x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	41.71	0.54	3820	2MASSJ04223953+1816097	
x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	46.14	0.62	3710	2MASSJ04184702+1321585	
x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	47.86	x	x	TYC1265-1118-1	
4.76E-15	2.03E-16	x	x	1.08E-15	2.46E-16	1.35E-14	3.88E-16	x	x	8.55E-15	4.23E-16	3.57E-14	3.55E-15	1.30E-14	2.16E-15	6.27E-15	2.89E-16	x	48.06	0.92	3250	2MASSJ02125819-5851182	
2.01E-16	1.28E-16	x	x	1.74E-16	2.45E-16	9.20E-16	2.22E-16	x	x	8.90E-16	2.74E-16	1.33E-15	1.29E-15	x	x	6.67E-16	2.30E-16	x	13.68	0.48	3750	GJ 3997	
3.79E-15	1.82E-16	x	x	6.74E-16	1.82E-16	1.04E-14	3.17E-16	x	x	5.03E-15	2.50E-16	1.62E-14	1.59E-15	1.61E-14	6.57E-16	4.77E-15	2.38E-16	x	50.22	0.92	3250	2MASSJ22463471-7353504	
x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	25.33	0.269	3260	GJ4334	
x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	9.86	0.657	3455	GJ49	
x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	20.86	0.77	3180	GJ871.1A 	
x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	35.04	0.468	x	LP247-13	
x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	16.8	0.48	3350	G80-21	
x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	26.9	0.93	3880	CD-571054	
x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	22.4	0.6	3650	CD-352722	
x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	11.94	0.589	3640	GJ410	
x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	37.04	0.382	x	LP55-41	
x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	29.14	0.227	x	G249-11	
<4.88e-16	x	x	x	<5.96e-17	x	<1.00e-17	x	x	x	<5.27e-17	x	<8.44e-17	x	<1.77e-16	x	<2.40e-16	x	x	44.76	0.41	3560	G111-72	
x	x	x	x	1.62E-16	1.62E-17	2.32E-16	2.32E-17	7.13E-15	2.30E-15	2.13E-16	2.13E-17	2.57E-16	2.57E-17	5.22E-16	1.55E-16	3.58E-16	3.58E-17	x	5.79	0.25	3250	GJ213	
x	x	x	x	<2.35e-16	x	5.40E-16	1.21E-16	x	x	4.05E-16	7.54E-17	1.12E-15	2.55E-16	1.14E-15	2.03E-16	3.29E-16	7.92E-17	x	24.8	0.597	3560	GJ4304	
5.58E-16	6.56E-16	x	x	9.52E-17	9.52E-18	1.05E-16	2.89E-17	2.62E-14	2.69E-15	8.16E-17	4.29E-17	6.84E-16	2.53E-16	6.69E-16	1.90E-16	1.95E-16	1.95E-17	x	11.81	0.37	3670	GJ821	
x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	3.93	0.291	3570	GJ191	
x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	5.54	0.301	3270	LHS26	
<9.20e-17	x	x	x	<5.25e-17	x	<1.92e-17	x	x	x	<1.21e-16	x	<-1.92e-17	x	<1.83e-16	x	<1.21e-17	x	x	16.09	0.204	3200	LHS353	
x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	10.51	0.29	3400	GJ754.1B	
1.41E-13	8.88E-16	8.07E-12	2.00E-13	1.41E-13	5.89E-16	1.64E-14	2.58E-16	1.66E-13	4.83E-16	1.74E-13	5.39E-16	5.66E-13	1.21E-15	3.02E-13	9.45E-16	2.79E-12	x	x	4.97	0.44	3410	GJ388	
1.41E-13	3.45E-16	1.07E-11	4.00E-13	7.42E-14	1.82E-16	1.09E-14	8.97E-17	1.44E-13	1.81E-16	9.53E-14	1.63E-16	3.55E-13	3.85E-16	2.75E-13	3.50E-16	4.20E-12	x	x	9.72	0.83	3650	GJ803	
1.41E-13	1.46E-15	2.75E-12	0	3.91E-14	9.03E-16	2.49E-15	4.95E-16	3.76E-14	6.42E-16	1.82E-14	9.76E-16	1.41E-13	1.96E-15	7.41E-14	1.58E-15	0	x	x	5.05	0.36	3330	GJ873	
1.41E-13	7.57E-16	4.21E-12	0	4.00E-14	4.56E-16	2.14E-15	2.08E-16	2.61E-14	2.79E-16	2.72E-14	3.83E-16	1.38E-13	9.13E-16	3.08E-14	5.87E-16	0	x	x	1.3	0.14	3100	GJ551	
0.00E+00	0.00E+00	2.64E-14	2.64E-15	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	2.31E-14	12.62	0.21	3270	GJ1132	
x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	29.45	0.547	3600	GJ3470	
x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	45.01	0.295	3180	K2-25	
x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	11.98	0.284	3290	GJ1243	
x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	59.88	0.91	3790	TWA13A	
x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	59.98	0.94	3580	TWA13B	
x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	34.03	0.59	x	TWA7	
x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	7.10E-16	x	x	x	8.67	0.11	x	LHS2065	
x	x	x	x	x	x	x	x	x	x	x	x	x	x	x		x	x	x	7.06	0.12	x	LHS3003	
0	0	0	0	0	0	0	0	1.10E-12	1.42E-15	0	0	0	0	0	0	0	0	0	5.99	0.36	3200	GJ285	
x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	2.80E-15	x	x	x	5.92	0.107	2700	GJ752B	
x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	1.40E-15	x	x	x	6.5	0.111	2730	GJ644C	
