star RV K err_K V err_V H_alpha H_alpha_err s s_err rhk_prime rhk_prime_err log_s log_s_err log_rhk_prime log_rhk_prime_err SiIII SiIII_err LyA LyA_err SiII SiII_err CII CII_err MgII MgII_err SiIV SiIV_err HeII HeII_err CIV CIV_err NV NV_err EUV dist radius teff newt_Ha newt_Ha_err ad_logRHK ad_logRHK_err ad_S ad_S_err num_spectra_ha num_spectra_s num_spectra_logrhk SiIII_lum SiIII_surface_flux SiIII_lum_err SiIII_surface_flux_err LyA_lum LyA_surface_flux LyA_lum_err LyA_surface_flux_err SiII_lum SiII_surface_flux SiII_lum_err SiII_surface_flux_err CII_lum CII_surface_flux CII_lum_err CII_surface_flux_err MgII_lum MgII_surface_flux MgII_lum_err MgII_surface_flux_err SiIV_lum SiIV_surface_flux SiIV_lum_err SiIV_surface_flux_err HeII_lum HeII_surface_flux HeII_lum_err HeII_surface_flux_err CIV_lum CIV_surface_flux CIV_lum_err CIV_surface_flux_err NV_lum NV_surface_flux NV_lum_err NV_surface_flux_err EUV_lum EUV_surface_flux EUV_lum_err EUV_surface_flux_err
HD173739 -1.07 4.432000160217285 0.019999999552965164 8.90999984741211 0.0 0.0 0.0 0.188489207377 1.27753742135e-05 6.84220248027e-08 1.07020034042e-07 -0.724713511829 2.94155431275e-05 -7.16480407795 0.678826663026 nan nan nan nan nan nan nan nan nan nan nan nan 5.58e-15 2.12e-16 1.18e-14 3e-16 nan nan nan 3.52 0.334 3520.0 nan nan 0.0 0.0 0.0 0.0 0 37 33 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 7.819372441869029e+24 1151.4646840376931 2.9708009994197743e+23 1.2996483083096412e+25 1.6535590468468554e+25 2434.9970020868777 4.203963678424209e+23 2.6025353272487475e+25 nan nan nan nan nan nan 0.0 0.0
GSC8056-0482 12.0 7.500999927520752 0.027000000700354576 12.41100025177002 0.5370000004768372 -4.91544 0.0517648 4.21814 0.003271224703 2.91595928349e-05 6.99981837496e-06 0.62512098987 0.000336572878354 -4.53521854451 0.10418256496 1.24e-14 2.18e-16 nan nan 9.15e-16 9.45e-17 2.92e-14 2.75e-16 nan nan 1.5e-14 2.95e-16 3.61e-14 4.38e-16 3.53e-14 2.95e-16 8.89e-15 1.56e-16 nan 38.85 0.92 nan 0.0 0.0 0.0 0.0 0.0 0.0 1 1 1 2.116684379733569e+27 41082.05001345841 3.7212676998541784e+25 2.687681665760897e+28 nan nan nan nan 1.5619082318195295e+26 3031.457722767295 1.613118337780825e+25 5.05043119174759e+27 4.984450313566148e+27 96741.60164459562 4.6942597131188035e+25 4.276911160112108e+28 nan nan nan nan 2.5605052980648016e+27 49696.02824208679 5.035660419527443e+25 4.921629007719091e+28 6.162282750675957e+27 119601.77463595555 7.476675470349221e+25 1.0849583399676658e+29 6.0257224681125e+27 116951.31979637756 5.035660419527443e+25 4.921629007719091e+28 1.517526139986406e+27 29453.179404810107 2.6629255099873936e+25 1.3763029420494317e+28 nan nan 0.0 0.0
2MASSJ02543316-5108313 13.8 7.789999961853027 0.029999999329447746 12.210000038146973 0.0 -3.1 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 6.96e-15 3.64e-16 nan nan 1.08e-15 3.17e-16 1.68e-14 5.3e-16 nan nan 9.14e-15 4.5e-16 4.3e-14 2.68e-15 2.54e-14 9.92e-16 9.99e-15 4.38e-16 nan 43.76 0.92 3250.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0 0 1.5073574082426132e+27 29255.817743302254 7.883305985636654e+25 1.2061817956823411e+29 nan nan nan nan 2.3390028748592276e+26 4539.695856719315 6.865406586392361e+25 9.148049938588549e+28 3.6384489164476865e+27 70617.49110452266 1.1478440034031393e+26 2.5571826048119925e+29 nan nan nan nan 1.9794894700197535e+27 38419.27789853198 9.745845311913447e+25 1.8434655659467013e+29 9.312696631383962e+27 180747.14985086164 5.80419231909512e+26 6.538522015237329e+30 5.50098824272448e+27 106766.92107469503 2.148417455426253e+26 8.958459746606294e+29 2.1635776592447854e+27 41992.18667465367 9.485956103595755e+25 1.7464583112764396e+29 nan nan 0.0 0.0
2MASSJ02001277-0840516 4.5 7.868000030517578 0.019999999552965164 12.4399995803833 0.07000000029802322 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.68e-15 2.45e-16 nan nan 1.16e-15 2.25e-16 2.21e-14 4.66e-16 nan nan 1.62e-14 4.18e-16 6.21e-14 2.72e-15 5.23e-14 1.53e-15 9.37e-15 3.14e-16 nan 36.93 0.92 3250.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0 0 1.3388462729239037e+27 25985.239023455855 3.7790015768013403e+25 2.7717250592838533e+28 nan nan nan nan 1.7892415628936956e+26 3472.681712812072 3.470511652164496e+25 2.3376689900249075e+28 3.4088136672371263e+27 66160.57401133342 7.187815244038467e+25 1.0027434018722939e+29 nan nan nan nan 2.498768389558437e+27 48497.79633409963 6.4474394249100415e+25 8.068086451617027e+28 9.578612159974008e+27 185908.21928071522 4.1954629750610795e+26 3.416298322133388e+30 8.067011529253473e+27 156570.0461897167 2.3599479234718573e+26 1.0809381409875173e+30 1.4452752969236147e+27 28050.885904352686 4.843291816798453e+25 4.552786404750535e+28 nan nan 0.0 0.0
G75-55 -31.07 7.171000003814697 0.027000000700354576 10.97700023651123 0.05000000074505806 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 5.17e-16 4.23e-17 nan nan nan nan 8.55e-16 8.17e-17 nan nan 5.18e-16 6.18e-17 2.02e-15 2.45e-16 2.73e-15 2.18e-16 5.15e-16 3.86e-17 nan 23.9 nan nan 0.0 0.0 0.0 0.0 0.0 0.0 0 0 0 3.339940410729656e+25 nan 2.7326785178697183e+24 nan nan nan nan nan nan nan nan nan 5.5234991318643245e+25 nan 5.278010281559243e+24 nan nan nan nan nan 3.3464006436324215e+25 nan 3.9924239339089507e+24 nan 1.304967046358589e+26 nan 1.5827570611774964e+25 nan 1.7636435824549248e+26 nan 1.4083307728028337e+25 nan 3.3270199449241254e+25 nan 2.493649900467403e+24 nan nan nan 0.0 0.0
2MASSJ22025453-6440441 2.2 8.156999588012695 0.032999999821186066 12.682999610900879 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.11e-14 3.52e-16 nan nan 1.56e-16 2.65e-16 1.92e-14 5.3e-16 nan nan 1.39e-14 5.06e-16 2.48e-14 1.36e-15 1.8e-14 6.25e-16 7.36e-15 3.36e-16 nan 43.7 0.92 3250.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0 0 2.3973874426237034e+27 46530.125966111766 7.602525944176068e+25 1.1217906704935776e+29 nan nan nan nan 3.3693012707143944e+25 653.936905469679 5.7234925432007335e+25 6.35796663831769e+28 4.146832333186947e+27 80484.54221165279 1.1446985086401467e+26 2.543186655327076e+29 nan nan nan nan 3.0021338245468e+27 58267.455038644475 1.0928631044753098e+26 2.3180752526996196e+29 5.356325097033139e+27 103959.2003567182 2.9373395693407538e+26 1.674573883123161e+30 3.887655312362762e+27 75454.25832342448 1.3498803167926257e+26 3.53660479614503e+29 1.5896190610549962e+27 30852.407847800238 7.256956583077156e+25 1.0221274497679086e+29 nan nan 0.0 0.0
2MASSJ00240899-6211042 6.1 7.49399995803833 0.020999999716877937 11.335000038146973 0.019999999552965164 -1.87373017719 0.0189103052334 2.46309725085 0.00117482891508 4.3275059617e-05 2.41154512743e-06 0.391481559494 0.000207005934892 -4.36376232515 0.0241850755277 1.02e-14 3.39e-16 nan nan 1.85e-15 2.35e-16 2.75e-14 5.84e-16 nan nan 1.71e-14 4.17e-16 5.05e-14 1.81e-15 4.29e-14 1.21e-15 8.17e-15 3.44e-16 nan 44.23 1.07 3820.0 0.0 0.0 0.0 0.0 0.0 0.0 3 3 3 2.2567654479485043e+27 32381.02003492923 7.500426341711205e+25 8.071904261025045e+28 nan nan nan nan 4.093153018337974e+26 5873.028143590107 5.199410590861751e+25 3.8789334657295733e+28 6.084416648880772e+27 87301.7697020151 1.2921088447077712e+26 2.395533783771598e+29 nan nan nan nan 3.7834008980313164e+27 54285.82770561666 9.226188154848299e+25 1.2213741266133992e+29 1.1173201482490145e+28 160317.79527097318 4.004652412536071e+26 2.3010907971166405e+30 9.491689972254004e+27 136190.76073514356 2.6771433255075395e+26 1.0283651402760826e+30 1.8076248735038512e+27 25936.56212601685 7.611052098963584e+25 8.311769499331367e+28 nan nan 0.0 0.0
2MASSJ01521830-5950168 10.3 8.137999534606934 0.028999999165534973 12.539999961853027 0.019999999552965164 -2.47920871979 0.0349984030634 2.98581695697 0.00124192223866 3.14205961089e-05 2.85912779831e-06 0.475063180143 0.000180518182912 -4.50278557982 0.0394919771784 1.17e-14 6.75e-16 nan nan 1.85e-15 3.31e-16 2.09e-14 8.05e-16 nan nan 1.7e-14 9.26e-16 3.07e-14 1.81e-15 1.86e-14 6.93e-16 7.99e-15 4.47e-16 nan 39.76 0.92 3250.0 0.0 0.0 0.0 0.0 0.0 0.0 3 3 3 2.091852154210306e+27 40600.08929193573 1.2068377812751767e+26 2.826791635422333e+29 nan nan nan nan 3.30762947460604e+26 6419.672238468471 5.917974897808644e+25 6.79739080095487e+28 3.73672735239277e+27 72524.94582918435 1.439265798409655e+26 4.0204809866547206e+29 nan nan nan nan 3.039443300989334e+27 58991.58273187243 1.655602645127131e+26 5.3199582647471066e+29 5.488877020021914e+27 106531.85822755785 3.236113161641584e+26 2.032560126596895e+30 3.3255085528471535e+27 64543.731694872185 1.2390201221091814e+26 2.9795640189189357e+29 1.4285383514649866e+27 27726.043883980037 7.991947973777836e+25 1.2396563179854064e+29 nan nan 0.0 0.0
2MASSJ03315564-4359135 15.1 7.46999979019165 0.020999999716877937 10.927000045776367 0.0820000022649765 -1.18268857909 0.0236092183982 1.71946 0.000674305626809 4.05453788819e-05 2.86652944427e-06 0.235392077232 0.000170197993577 -4.3920586369 0.0306834912663 7.73e-15 1.1e-16 nan nan 1.62e-15 7.78e-17 1.91e-14 1.97e-16 nan nan 1.55e-14 2.04e-16 2.88e-14 5.04e-16 2.88e-14 3.07e-16 9.3e-15 1.17e-16 nan 45.28 1.07 3820.0 0.0 0.0 0.0 0.0 0.0 0.0 2 1 1 1.7924403165491574e+27 25718.687714912925 2.5506912654645186e+25 9.335119705692343e+27 nan nan nan nan 3.756472590956837e+26 5389.944902737249 1.8040343677558141e+25 4.6697509057357726e+27 4.428927560942937e+27 63548.1158285688 4.56805617542282e+25 2.9941046335389598e+28 nan nan nan nan 3.59415587406364e+27 51570.46048915269 4.730372892316017e+25 3.210663980761096e+28 6.678173495034376e+27 95821.24271532887 1.168680361631016e+26 1.959727080298468e+29 6.678173495034376e+27 95821.24271532887 7.118747440887339e+25 7.271286753237998e+28 2.1564935244381845e+27 30942.27629349162 2.7130079823577156e+25 1.056102922737376e+28 nan nan 0.0 0.0
2MASSJ23261069-7323498 9.2 7.941999912261963 0.027000000700354576 11.876999855041504 0.061000000685453415 -2.69974059729 0.0157192082378 3.17699629113 0.00114140643978 5.12240390273e-05 3.04575575378e-06 0.502016707827 0.000155924133827 -4.2905261803 0.0258054230443 6.6e-15 2.77e-16 nan nan 1.53e-15 3.62e-16 2.22e-14 5.01e-16 nan nan 1.11e-14 3.51e-16 4.1e-14 1.65e-15 3.14e-14 7.14e-16 5.49e-15 3.53e-16 nan 46.29 1.07 3820.0 0.0 0.0 0.0 0.0 0.0 0.0 3 3 3 1.5994500084927803e+27 22949.58158675879 6.712843217462124e+25 6.4657232179121324e+28 nan nan nan nan 3.707815928778719e+26 5320.130276930448 8.772740955672523e+25 1.1042685729881497e+29 5.379968210384808e+27 77194.0471554614 1.2141279609922467e+26 2.1151103147690737e+29 nan nan nan nan 2.689984105192404e+27 38597.0235777307 8.506165954257059e+25 1.0381779590115764e+29 9.935977325485454e+27 142565.58258441067 3.998625021231951e+26 2.2941692789904437e+30 7.60950458585959e+27 109184.37300367061 1.730314100096735e+26 4.295898335178007e+29 1.33045159797354e+27 19089.879228985723 8.554634136332598e+25 1.0500427536665573e+29 nan nan 0.0 0.0
