00394218+1039137 00 39 42.166 +10 39 13.703 0.791 0.795 5.772   2.1621 2012AcA....62...67K                -1.211 0.040 2014MNRAS.443.2561G  1.051 0  -1.211 0.040 2014MNRAS.443.2561G 1 0
00424820+3532554 00 42 48.244 +35 32 55.555 0.763 0.767         2.1700 1969lls..symp...57K                -2.286       2002AJ....123.3356G        0  -2.286       2002AJ....123.3356G 1 0
00425668+2239350 00 42 56.742 +22 39 35.049 0.545 0.553                                                    0.190 0.110 2014MNRAS.443.2561G        0   0.190 0.110 2014MNRAS.443.2561G 0 1
00433558+2826414 00 43 35.589 +28 26 41.401 0.137 0.161 4.010                                                                                     1  -1.000       1995AJ....110.1838R 0 0
00503319+2449009 00 50 33.234 +24 49 00.919 0.319 0.334 3.854   1.6968 2007A&A...467..785N                -4.203       2002AJ....123.3356G  1.697 0  -4.203       2002AJ....123.3356G 1 1
00512963+5818071 00 51 29.806 +58 18 07.229 0.505 0.513 6.307                                              0.217       2002AJ....123.3356G  0.023 0   0.217       2002AJ....123.3356G 0 0
00520003+2034585 00 52 00.058 +20 34 58.363 0.630 0.636 5.811                                              0.190 0.150 2014MNRAS.443.2561G  0.089 0   0.190 0.150 2014MNRAS.443.2561G 0 0
00535321+4556404 00 53 53.242 +45 56 40.448 0.589 0.596 6.476                                              0.170 0.110 2014MNRAS.443.2561G  0.087 0   0.170 0.110 2014MNRAS.443.2561G 0 0
00563841+1727347 00 56 38.378 +17 27 35.074 0.318 0.333 3.169                                                                                     1  -1.000       1995AJ....110.1838R 0 0
01012006+6121560 01 01 20.025 +61 21 56.827 0.397 0.409 4.812                                             -0.026 0.175 2002AJ....123.3356G  0.118 0  -0.026 0.175 2002AJ....123.3356G 0 0
01023213+7140475 01 02 32.204 +71 40 47.380 0.473 0.482 5.052                                              0.149 0.038 2002AJ....123.3356G  0.047 0   0.149 0.038 2002AJ....123.3356G 0 0
01023895+6220422 01 02 38.846 +62 20 42.099 0.573 0.580 5.305                                              0.031       2002AJ....123.3356G  0.139 0   0.031       2002AJ....123.3356G 0 0
01031408+2005523 01 03 14.159 +20 05 52.125 0.490 0.500 4.767                                              0.239 0.220 2014MNRAS.443.2561G  0.004 0   0.239 0.220 2014MNRAS.443.2561G 0 0
01031971+6221557 01 03 19.824 +62 21 55.735 0.198 0.219 2.402   1.0240 2016ApJ...821...93N  -9.101 0.067 -10.315 2.999 2002AJ....123.3356G  2.514 0 -10.315 2.999 2002AJ....123.3356G 1 1
01034013+4051288 01 03 40.120 +40 51 29.290 0.665 0.671 6.115   0.2540 2011AJ....141..166H                -1.728 0.180 2014MNRAS.443.2561G  1.291 0  -1.728 0.180 2014MNRAS.443.2561G 1 1
01034210+4051158 01 03 42.101 +40 51 15.883 0.422 0.434                                                                                           0  -4.780       2009ApJ...699..649S 1 1
01053732+2829339 01 05 37.636 +28 29 33.632 0.169 0.192 2.127                                                                                     1  -1.000       1995AJ....110.1838R 0 1
01064151+1516229 01 06 41.510 +15 16 22.359 0.561 0.568 5.216                                              0.001 0.070 2014MNRAS.443.2561G  0.148 0   0.001 0.070 2014MNRAS.443.2561G 0 0
01070794+6356284 01 07 08.159 +63 56 28.842 0.693 0.698 6.852                                              0.407       2002AJ....123.3356G  0.010 0   0.407       2002AJ....123.3356G 0 0
01073851+2257218 01 07 38.535 +22 57 20.820 0.275 0.292                                     -0.337 0.068  -0.337 0.068 ThisWork                   0  -0.337 0.068 ThisWork            0 1
01084037+1714348 01 08 40.360 +17 14 33.537 0.647 0.652 6.972                                                                                     1  -1.000       1995AJ....110.1838R 0 0
01115562+0455048 01 11 55.610 +04 55 05.358 0.291 0.307 3.715                                             -0.039 0.130 2014MNRAS.443.2561G  0.086 0  -0.039 0.130 2014MNRAS.443.2561G 0 0
01115799+0454120 01 11 57.975 +04 54 12.348 0.191 0.212 3.823                                                                                     1  -1.000       1995AJ....110.1838R 0 0
01163929+2519535 01 16 39.361 +25 19 53.384 0.699 0.704 7.190                                              0.402 0.013 2002AJ....123.3356G  0.021 0   0.402 0.013 2002AJ....123.3356G 0 0
01175067+2840143 01 17 50.619 +28 40 13.671 0.458 0.468 5.505                                             -0.009 0.110 2014MNRAS.443.2561G  0.135 0  -0.009 0.110 2014MNRAS.443.2561G 0 0
01175325+0528256 01 17 53.259 +05 28 26.333 0.555 0.563 6.246                                              0.051 0.070 2014MNRAS.443.2561G  0.144 0   0.051 0.070 2014MNRAS.443.2561G 0 0
01195227+8409327 01 19 52.150 +84 09 32.886 0.150 0.174 2.673                                                                                     1  -1.000       1995AJ....110.1838R 0 0
01212932+2419500 01 21 29.370 +24 19 49.937 0.646 0.651                                                    0.160 0.090 2014MNRAS.443.2561G        0   0.160 0.090 2014MNRAS.443.2561G 0 0
01213098+8009063 01 21 30.924 +80 09 06.519 0.725 0.729                                                    0.399       2002AJ....123.3356G        0   0.399       2002AJ....123.3356G 0 0
01224500+0032042 01 22 45.014 +00 32 04.657 0.221 0.240 4.016                                                                                     1  -1.000       1995AJ....110.1838R 0 1
01253666+0945244 01 25 36.654 +09 45 24.628 0.262 0.280 4.138                                              0.090 0.180 2014MNRAS.443.2561G  0.038 0   0.090 0.180 2014MNRAS.443.2561G 0 1
01382162+5713571 01 38 21.621 +57 13 57.090 0.268 0.285 4.384                                             -0.008       2002AJ....123.3356G  0.084 0  -0.008       2002AJ....123.3356G 0 0
01382998+0039059 01 38 29.954 +00 39 05.850 0.488 0.497 5.644                                              0.041 0.080 2014MNRAS.443.2561G  0.116 0   0.041 0.080 2014MNRAS.443.2561G 0 0
01431592+2750315 01 43 15.989 +27 50 31.495 0.661 0.666 6.255                                              0.363       2002AJ....123.3356G  0.009 0   0.363       2002AJ....123.3356G 0 0
01432015+0419172 01 43 20.169 +04 19 18.348 0.405 0.417 5.104                                              0.055 0.070 2002AJ....123.3356G  0.085 0   0.055 0.070 2002AJ....123.3356G 0 0
01445851+1620396 01 44 58.447 +16 20 39.099 0.207 0.227 3.200                                                                                     1  -1.000       1995AJ....110.1838R 0 0
01451820+4632077 01 45 18.207 +46 32 07.863 0.619 0.625         4.0500 2010ApJ...716.1522S                -2.771 0.110 2014MNRAS.443.2561G        0  -2.771 0.110 2014MNRAS.443.2561G 1 0
01480397+2112243 01 48 03.975 +21 12 24.380 0.429 0.440 4.942                                              0.071 0.100 2014MNRAS.443.2561G  0.078 0   0.071 0.100 2014MNRAS.443.2561G 0 0
01484059+3306071 01 48 40.649 +33 06 07.017 0.488 0.497                                                    0.210 0.050 2014MNRAS.443.2561G        0   0.210 0.050 2014MNRAS.443.2561G 0 0
01591239+0331092 01 59 12.370 +03 31 09.403 0.738 0.743                                                    0.299 0.050 2014MNRAS.443.2561G        0   0.299 0.050 2014MNRAS.443.2561G 0 0
01591260+0331113 01 59 12.590 +03 31 11.260 0.598 0.605                                                                                           0  -2.020       1995AJ....110.1838R 1 1
01592349+5831162 01 59 23.522 +58 31 15.985 0.355 0.369 3.233                                             -6.713       2002AJ....123.3356G  2.238 0  -6.713       2002AJ....123.3356G 1 0
02001278+1303112 02 00 12.970 +13 03 07.123 0.143 0.167 2.993                               -1.981 0.030  -1.783 0.373 2002AJ....123.3356G  0.566 0  -1.783 0.373 2002AJ....123.3356G 1 0
02013533+6346118 02 01 35.339 +63 46 12.111 0.468 0.478                                                    0.006 0.067 2002AJ....123.3356G        0   0.006 0.067 2002AJ....123.3356G 0 0
02021620+1020136 02 02 16.248 +10 20 13.884 0.103 0.129 1.739                                             -0.451 0.311 2002AJ....123.3356G  0.090 0  -0.451 0.311 2002AJ....123.3356G 0 0
02065718+4511045 02 06 57.222 +45 11 03.933 0.603 0.609 6.001                                              0.158       2002AJ....123.3356G  0.095 0   0.158       2002AJ....123.3356G 0 0
02081568+8013156 02 08 15.754 +80 13 15.687 0.621 0.627 6.949                                              0.220 0.110 2014MNRAS.443.2561G  0.079 0   0.220 0.110 2014MNRAS.443.2561G 0 0
02100486+3525504 02 10 04.813 +35 25 49.412 0.304 0.320 5.083                                                                                     1  -1.000       1995AJ....110.1838R 0 0
02122090+0334310 02 12 20.989 +03 34 32.368 0.450 0.460 5.694                                              0.155 0.003 2002AJ....123.3356G  0.045 0   0.155 0.003 2002AJ....123.3356G 0 0
02145978+1725089 02 14 59.813 +17 25 08.420 0.217 0.237 3.018                                                                                     1  -1.000       1995AJ....110.1838R 0 0
02152197+0729389 02 15 21.966 +07 29 39.230 0.574 0.581 5.372                                              0.011 0.190 2014MNRAS.443.2561G  0.152 0   0.011 0.190 2014MNRAS.443.2561G 0 0
02162977+1335136 02 16 29.854 +13 35 12.605 0.097 0.124 1.505                                             -2.859 0.621 2002AJ....123.3356G  0.439 0  -2.859 0.621 2002AJ....123.3356G 1 0
02170993+3526330 02 17 10.021 +35 26 32.521 0.113 0.139 1.365   0.2760 2016ApJ...821...93N -12.215 0.139 -12.215 0.139 ThisWork             1.678 0 -12.215 0.139 ThisWork            1 0
02181266+4416120 02 18 12.670 +44 16 12.153 0.352 0.366 4.747                                                                                     1  -1.000       1995AJ....110.1838R 0 0
02190305+3521181 02 19 03.013 +35 21 18.586 0.324 0.339 4.795                                                                                     0   0.570       2013AJ....145..102L 0 0
02210181+3652481 02 21 01.890 +36 52 47.499 0.174 0.196 3.978                                                                                     1  -1.000       1995AJ....110.1838R 0 0
02210396+3653053 02 21 04.049 +36 53 04.619 0.256 0.274 4.527                                                                                     1  -1.000       1995AJ....110.1838R 0 1
02221463+4752481 02 22 14.633 +47 52 48.073 0.618 0.624                                                    0.230       2002AJ....123.3356G        0   0.230       2002AJ....123.3356G 0 0
